index	name	value	section	type	storage	naux	file
0	.file	0xB	-2	0	103	1	main.c
2	.text	0x10000	1	0	3	1	main.c
4	.data	0x50000	3	0	3	1	main.c
6	.data	0x60000	4	0	3	1	main.c
8	.bss	0x40000	2	0	3	1	main.c
10	FLAT	0x0	-1	0	3	0	main.c
11	.file	0x18	-2	0	103	3	D:\nt\private\crt32\linkopts\binmode.c
15	.text	0x107E0	1	0	3	1	D:\nt\private\crt32\linkopts\binmode.c
17	.data	0x500A0	3	0	3	1	D:\nt\private\crt32\linkopts\binmode.c
19	.data	0x60000	4	0	3	1	D:\nt\private\crt32\linkopts\binmode.c
21	.bss	0x40000	2	0	3	1	D:\nt\private\crt32\linkopts\binmode.c
23	FLAT	0x0	-1	0	3	0	D:\nt\private\crt32\linkopts\binmode.c
24	.file	0x23	-2	0	103	1	p0keys.c
26	.text	0x107E0	1	0	3	1	p0keys.c
28	.data	0x500B0	3	0	3	1	p0keys.c
30	.data	0x60000	4	0	3	1	p0keys.c
32	.bss	0x40000	2	0	3	1	p0keys.c
34	FLAT	0x0	-1	0	3	0	p0keys.c
35	.file	0x2E	-2	0	103	1	typemit.c
37	.text	0x109F0	1	0	3	1	typemit.c
39	.data	0x50680	3	0	3	1	typemit.c
41	.data	0x60000	4	0	3	1	typemit.c
43	.bss	0x40000	2	0	3	1	typemit.c
45	FLAT	0x0	-1	0	3	0	typemit.c
46	.file	0x39	-2	0	103	1	symbols.c
48	.text	0x117E0	1	0	3	1	symbols.c
50	.data	0x50690	3	0	3	1	symbols.c
52	.data	0x60000	4	0	3	1	symbols.c
54	.bss	0x40010	2	0	3	1	symbols.c
56	FLAT	0x0	-1	0	3	0	symbols.c
57	.file	0x44	-2	0	103	1	types.c
59	.text	0x12C90	1	0	3	1	types.c
61	.data	0x506F0	3	0	3	1	types.c
63	.data	0x60000	4	0	3	1	types.c
65	.bss	0x40010	2	0	3	1	types.c
67	FLAT	0x0	-1	0	3	0	types.c
68	.file	0x4F	-2	0	103	1	const.c
70	.text	0x13990	1	0	3	1	const.c
72	.data	0x50780	3	0	3	1	const.c
74	.data	0x60000	4	0	3	1	const.c
76	.bss	0x40020	2	0	3	1	const.c
78	FLAT	0x0	-1	0	3	0	const.c
79	.file	0x5A	-2	0	103	1	trees.c
81	.text	0x142E0	1	0	3	1	trees.c
83	.data	0x50780	3	0	3	1	trees.c
85	.data	0x60000	4	0	3	1	trees.c
87	.bss	0x40020	2	0	3	1	trees.c
89	FLAT	0x0	-1	0	3	0	trees.c
90	.file	0x65	-2	0	103	1	based.c
92	.text	0x16020	1	0	3	1	based.c
94	.data	0x507F0	3	0	3	1	based.c
96	.data	0x60000	4	0	3	1	based.c
98	.bss	0x40030	2	0	3	1	based.c
100	FLAT	0x0	-1	0	3	0	based.c
101	.file	0x70	-2	0	103	1	gramut.c
103	.text	0x163C0	1	0	3	1	gramut.c
105	.data	0x507F0	3	0	3	1	gramut.c
107	.data	0x60000	4	0	3	1	gramut.c
109	.bss	0x40030	2	0	3	1	gramut.c
111	FLAT	0x0	-1	0	3	0	gramut.c
112	.file	0x7B	-2	0	103	1	esu.c
114	.text	0x17470	1	0	3	1	esu.c
116	.data	0x50870	3	0	3	1	esu.c
118	.data	0x60000	4	0	3	1	esu.c
120	.bss	0x40030	2	0	3	1	esu.c
122	FLAT	0x0	-1	0	3	0	esu.c
123	.file	0x86	-2	0	103	1	ainline.c
125	.text	0x182C0	1	0	3	1	ainline.c
127	.data	0x508A0	3	0	3	1	ainline.c
129	.data	0x60000	4	0	3	1	ainline.c
131	.bss	0x40030	2	0	3	1	ainline.c
133	FLAT	0x0	-1	0	3	0	ainline.c
134	.file	0x95	-2	0	103	1	agrammar.c
136	.text	0x18800	1	0	3	1	agrammar.c
138	.data	0x508B0	3	0	3	1	agrammar.c
140	.data	0x60000	4	0	3	1	agrammar.c
142	.bss	0x40030	2	0	3	1	agrammar.c
144	FLAT	0x0	-1	0	3	0	agrammar.c
145	yyerror	0x188D0	1	0	3	0	agrammar.c
146	yyrecerr	0x18800	1	0	3	0	agrammar.c
147	yyeval	0x18856	1	0	3	0	agrammar.c
148	yyscpy	0x18935	1	0	3	0	agrammar.c
149	.file	0xA0	-2	0	103	1	atrees.c
151	.text	0x19260	1	0	3	1	atrees.c
153	.data	0x50920	3	0	3	1	atrees.c
155	.data	0x60000	4	0	3	1	atrees.c
157	.bss	0x40610	2	0	3	1	atrees.c
159	FLAT	0x0	-1	0	3	0	atrees.c
160	.file	0xAB	-2	0	103	1	alexer.c
162	.text	0x19BF0	1	0	3	1	alexer.c
164	.data	0x50930	3	0	3	1	alexer.c
166	.data	0x60000	4	0	3	1	alexer.c
168	.bss	0x40610	2	0	3	1	alexer.c
170	FLAT	0x0	-1	0	3	0	alexer.c
171	.file	0xB6	-2	0	103	1	aoutline.c
173	.text	0x1A350	1	0	3	1	aoutline.c
175	.data	0x50940	3	0	3	1	aoutline.c
177	.data	0x60000	4	0	3	1	aoutline.c
179	.bss	0x40610	2	0	3	1	aoutline.c
181	FLAT	0x0	-1	0	3	0	aoutline.c
182	.file	0xC1	-2	0	103	1	intrin.c
184	.text	0x1B980	1	0	3	1	intrin.c
186	.data	0x50940	3	0	3	1	intrin.c
188	.data	0x60000	4	0	3	1	intrin.c
190	.bss	0x40610	2	0	3	1	intrin.c
192	FLAT	0x0	-1	0	3	0	intrin.c
193	.file	0xCC	-2	0	103	1	p0id.c
195	.text	0x1BCE0	1	0	3	1	p0id.c
197	.data	0x50DB0	3	0	3	1	p0id.c
199	.data	0x60000	4	0	3	1	p0id.c
201	.bss	0x40610	2	0	3	1	p0id.c
203	FLAT	0x0	-1	0	3	0	p0id.c
204	.file	0xD7	-2	0	103	1	p0scan.c
206	.text	0x1C0D0	1	0	3	1	p0scan.c
208	.data	0x50DB0	3	0	3	1	p0scan.c
210	.data	0x60000	4	0	3	1	p0scan.c
212	.bss	0x40610	2	0	3	1	p0scan.c
214	FLAT	0x0	-1	0	3	0	p0scan.c
215	.file	0xE2	-2	0	103	1	Common\qcalloc
217	.text	0x1D370	1	0	3	1	Common\qcalloc
219	.data	0x50DE0	3	0	3	1	Common\qcalloc
221	.data	0x60000	4	0	3	1	Common\qcalloc
223	.bss	0x40620	2	0	3	1	Common\qcalloc
225	FLAT	0x0	-1	0	3	0	Common\qcalloc
226	.file	0xED	-2	0	103	1	thunk.c
228	.text	0x1D3C0	1	0	3	1	thunk.c
230	.data	0x50DE0	3	0	3	1	thunk.c
232	.data	0x60000	4	0	3	1	thunk.c
234	.bss	0x40620	2	0	3	1	thunk.c
236	FLAT	0x0	-1	0	3	0	thunk.c
237	.file	0xF8	-2	0	103	1	function.c
239	.text	0x1D720	1	0	3	1	function.c
241	.data	0x50DE0	3	0	3	1	function.c
243	.data	0x60000	4	0	3	1	function.c
245	.bss	0x40620	2	0	3	1	function.c
247	FLAT	0x0	-1	0	3	0	function.c
248	.file	0x103	-2	0	103	1	toinil.c
250	.text	0x1E030	1	0	3	1	toinil.c
252	.data	0x50E30	3	0	3	1	toinil.c
254	.data	0x60000	4	0	3	1	toinil.c
256	.bss	0x40620	2	0	3	1	toinil.c
258	FLAT	0x0	-1	0	3	0	toinil.c
259	.file	0x10E	-2	0	103	1	funcs.c
261	.text	0x1E890	1	0	3	1	funcs.c
263	.data	0x50E30	3	0	3	1	funcs.c
265	.data	0x60000	4	0	3	1	funcs.c
267	.bss	0x40620	2	0	3	1	funcs.c
269	FLAT	0x0	-1	0	3	0	funcs.c
270	.file	0x119	-2	0	103	1	sizes.c
272	.text	0x1F250	1	0	3	1	sizes.c
274	.data	0x50E60	3	0	3	1	sizes.c
276	.data	0x60000	4	0	3	1	sizes.c
278	.bss	0x40630	2	0	3	1	sizes.c
280	FLAT	0x0	-1	0	3	0	sizes.c
281	.file	0x124	-2	0	103	1	Common\alloc.c
283	.text	0x1F530	1	0	3	1	Common\alloc.c
285	.data	0x50E60	3	0	3	1	Common\alloc.c
287	.data	0x60000	4	0	3	1	Common\alloc.c
289	.bss	0x40630	2	0	3	1	Common\alloc.c
291	FLAT	0x0	-1	0	3	0	Common\alloc.c
292	.file	0x12F	-2	0	103	1	p0macros.c
294	.text	0x1F6D0	1	0	3	1	p0macros.c
296	.data	0x50F40	3	0	3	1	p0macros.c
298	.data	0x60000	4	0	3	1	p0macros.c
300	.bss	0x40630	2	0	3	1	p0macros.c
302	FLAT	0x0	-1	0	3	0	p0macros.c
303	.file	0x13A	-2	0	103	1	Common\qtime2.
305	.text	0x21050	1	0	3	1	Common\qtime2.
307	.data	0x50F50	3	0	3	1	Common\qtime2.
309	.data	0x60000	4	0	3	1	Common\qtime2.
311	.bss	0x40630	2	0	3	1	Common\qtime2.
313	FLAT	0x0	-1	0	3	0	Common\qtime2.
314	.file	0x145	-2	0	103	1	p0prepro.c
316	.text	0x21150	1	0	3	1	p0prepro.c
318	.data	0x50F50	3	0	3	1	p0prepro.c
320	.data	0x60000	4	0	3	1	p0prepro.c
322	.bss	0x40650	2	0	3	1	p0prepro.c
324	FLAT	0x0	-1	0	3	0	p0prepro.c
325	.file	0x150	-2	0	103	1	p0expr.c
327	.text	0x21D30	1	0	3	1	p0expr.c
329	.data	0x50F90	3	0	3	1	p0expr.c
331	.data	0x60000	4	0	3	1	p0expr.c
333	.bss	0x40650	2	0	3	1	p0expr.c
335	FLAT	0x0	-1	0	3	0	p0expr.c
336	.file	0x15B	-2	0	103	1	p0io.c
338	.text	0x224A0	1	0	3	1	p0io.c
340	.data	0x50FA0	3	0	3	1	p0io.c
342	.data	0x60000	4	0	3	1	p0io.c
344	.bss	0x40650	2	0	3	1	p0io.c
346	FLAT	0x0	-1	0	3	0	p0io.c
347	.file	0x166	-2	0	103	1	p1_init.c
349	.text	0x22D80	1	0	3	1	p1_init.c
351	.data	0x51080	3	0	3	1	p1_init.c
