call_rva	push_rva	kind	low_number	display_id	text	function	source
0x10251	0x1024F	fatal	68	1068	cannot open file '%s'	_init_main2	main.c
0x103BD	0x103BB	fatal	68	1068	cannot open file '%s'	_init_main2	main.c
0x10578	0x10576	fatal	1	1001	Internal Compiler Error\n\t\t(compiler file '%s', line %d)\n\t\tContact Microsoft Product Support Services	_main	main.c
0x106E9	0x106E7	fatal	69	1069	write error on file '%s'	MAIN_COMPILE	main.c
0x10711	0x1070F	fatal	69	1069	write error on file '%s'	MAIN_COMPILE	main.c
0x10738	0x10736	fatal	6	1006	write error on compiler-generated file	MAIN_COMPILE	main.c
0x10E70	0x10E6E	fatal	60	1060	compiler is out of far heap space	ALLOCCVTYPETABLE	typemit.c
0x10EAD	0x10EAB	fatal	60	1060	compiler is out of far heap space	CLEARCVTYPETABLE	typemit.c
0x115FD	0x115FB	fatal	1	1001	Internal Compiler Error\n\t\t(compiler file '%s', line %d)\n\t\tContact Microsoft Product Support Services	EMITPARMLIST	typemit.c
0x11620	0x1161E	fatal	1	1001	Internal Compiler Error\n\t\t(compiler file '%s', line %d)\n\t\tContact Microsoft Product Support Services	EMITPARMLIST	typemit.c
0x116A9	0x116A7	fatal	1	1001	Internal Compiler Error\n\t\t(compiler file '%s', line %d)\n\t\tContact Microsoft Product Support Services	EMITTYPEREC	typemit.c
0x11861	0x1185F	error	72	2072	'%Fs' : initialization of a function	DECLARESYMBOL	symbols.c
0x1187E	0x11879	error	136	2136	'%Fs' : prototype must have parameter types	DECLARESYMBOL	symbols.c
0x11932	0x1192D	error	703	2703	'%Fs' : definition may not have '%Fs' modifier	ALLOCATESYMBOL	symbols.c
0x11A3A	0x11A35	error	133	2133	'%Fs' : unknown size	ALLOCATESYMBOL	symbols.c
0x11BF0	0x11BEB	error	182	2182	'%Fs' : has type void	TYPESYMBOL	symbols.c
0x11C33	0x11C31	error	79	2079	'%Fs' uses undefined struct/union '%Fs'	TYPESYMBOL	symbols.c
0x11CB9	0x11CB7	warning	1	4001	nonstandard extension used - '%Fs'	TYPESYMBOL	symbols.c
0x11CDD	0x11CD8	error	201	2201	'%Fs' : storage class must be extern	TYPESYMBOL	symbols.c
0x11D4E	0x11D4C	warning	2	4002	too many actual parameters for macro '%s'	TYPESYMBOL	symbols.c
0x11D6B	0x11D69	warning	1	4001	nonstandard extension used - '%Fs'	TYPESYMBOL	symbols.c
0x11D9C	0x11D9A	warning	1	4001	nonstandard extension used - '%Fs'	TYPESYMBOL	symbols.c
0x11DCD	0x11DCB	warning	1	4001	nonstandard extension used - '%Fs'	TYPESYMBOL	symbols.c
0x11E1A	0x11E18	warning	4	4004	missing ')' after 'defined'	TYPESYMBOL	symbols.c
0x11E90	0x11E8B	error	185	2185	'%Fs' : illegal _based allocation	TYPESYMBOL	symbols.c
0x11FBF	0x11FBD	error	86	2086	'%Fs' : redefinition	INCURRENTLEVEL	symbols.c
0x11FFF	0x11FFD	error	82	2082	redefinition of formal parameter '%Fs'	INLEVELN	symbols.c
0x12230	0x1222B	error	709	2709		CHK_ENTRY	symbols.c
0x1225B	0x12259	error	84	2084	function '%Fs' already has a body	CHK_ENTRY	symbols.c
0x12299	0x12294	error	179	2179	'%Fs' : was used in same_seg, but storage class is no longer extern	CHK_ENTRY	symbols.c
0x123C9	0x123C7	error	86	2086	'%Fs' : redefinition	REDEFINED	symbols.c
0x1247D	0x1247B	warning	1	4001	nonstandard extension used - '%Fs'	F_DECLARATION	symbols.c
0x124A8	0x124A6	warning	1	4001	nonstandard extension used - '%Fs'	F_DECLARATION	symbols.c
0x125EF	0x125ED	fatal	61	1061	compiler limit : blocks nested too deeply	ENTERSYMBOL	symbols.c
0x1283E	0x1283C	fatal	55	1055	compiler limit : out of keys	NEW_KEY	symbols.c
0x1291F	0x1291A	error	195	2195	'%Fs' : is a data segment	NEWSEGMENT	symbols.c
