id	class	text
1000	fatal	UNKNOWN FATAL ERROR\n\t\tContact Microsoft Product Support Services
1001	fatal	Internal Compiler Error\n\t\t(compiler file '%s', line %d)\n\t\tContact Microsoft Product Support Services
1003	fatal	error count exceeds %d; stopping compilation
1004	fatal	unexpected end-of-file found
1005	fatal	string too big for buffer
1006	fatal	write error on compiler-generated file
1007	fatal	unrecognized flag '%s' in '%s'
1008	fatal	no input file specified
1009	fatal	compiler limit : macros nested too deeply
1010	fatal	compiler limit : macro expansion too big
1011	fatal	compiler limit : '%s': macro definition too big
1012	fatal	unmatched parenthesis - missing '%c'
1014	fatal	too many include files
1016	fatal	#if[n]def expected an identifier
1017	fatal	invalid integer constant expression
1018	fatal	unexpected '#elif'
1019	fatal	unexpected '#else'
1020	fatal	unexpected '#endif'
1021	fatal	invalid preprocessor command '%s'
1022	fatal	expected '#endif'
1023	fatal	cannot open source file '%Fs'
1024	fatal	cannot open include file '%Fs'
1025	fatal	compiler terminated by user
1026	fatal	parser stack overflow, please simplify your program
1027	fatal	DGROUP data allocation exceeds 64K
1028	fatal	'%s' : segment allocation exceeds 64K
1031	fatal	compiler limit : function calls nested too deeply
1032	fatal	cannot open object listing file '%s'
1035	fatal	expression too complex, please simplify
1037	fatal	cannot open object file '%s'
1041	fatal	cannot open compiler intermediate file - no more files
1042	fatal	cannot open compiler intermediate file - no such file or directory
1043	fatal	cannot open compiler intermediate file
1044	fatal	out of disk space for compiler intermediate file
1046	fatal	compiler limit : %s nested too deeply
1047	fatal	limit of %s exceeded at '%s'
1048	fatal	unknown option '%c' in '%s'
1049	fatal	invalid numerical argument '%s'
1052	fatal	compiler limit : #if/#ifdef blocks nested too deeply
1053	fatal	compiler limit : struct/union nested too deeply
1054	fatal	compiler limit : initializers nested too deeply
1055	fatal	compiler limit : out of keys
1056	fatal	compiler limit : out of macro expansion space
1057	fatal	unexpected end-of-file in macro expansion (missing ')'?)
1058	fatal	compiler limit : too many formal arguments
1059	fatal	compiler is out of near heap space
1060	fatal	compiler is out of far heap space
1061	fatal	compiler limit : blocks nested too deeply
1062	fatal	error writing to preprocessor output file
1063	fatal	compiler limit : compiler stack overflow
1064	fatal	compiler limit : token overflowed internal buffer
1068	fatal	cannot open file '%s'
1069	fatal	write error on file '%s'
1070	fatal	mismatched #if/#endif pair in file '%Fs'
1071	fatal	unexpected end-of-file found in comment
1072	fatal	'%Fs' : cannot read file
1126	fatal	'%Fs' : automatic allocation exceeds %s
1127	fatal	'%Fs' : segment redefinition
1500	fatal	'%Fs' : cannot open inline function definition file
1501	fatal	compiler limit : too many temporary variables
1502	fatal	the inline member function definition starting on this line found an end-of-file before a matched '}'
2000	error	UNKNOWN ERROR\n\t\tContact Microsoft Product Support Services
2001	error	newline in constant
2003	error	expected 'defined id'
2004	error	expected 'defined(id)'
2005	error	#line expected a line number, found '%s'
2006	error	#include expected a file name, found '%s'
2007	error	#define syntax
2008	error	'%c' : unexpected in macro definition
2009	error	reuse of macro formal '%Fs'
2010	error	'%c' : unexpected in macro formal-parameter list
2011	error	'%s' : %s type redefinition
2012	error	missing name following '<'
2013	error	missing '>'
2014	error	preprocessor command must start as first non-white-space
2015	error	too many characters in constant
2016	error	no closing single quotation mark
2017	error	illegal escape sequence
2018	error	unknown character '0x%x'
2019	error	expected preprocessor directive, found '%c'
2020	error	'%Fs' : %s member redefinition
2021	error	expected exponent value, not '%c'
2022	error	'%ld' : too big for character
