rva	end_rva	size	name	source	aligned
0x10000	0x10501	0x501	_init_main2	main.c	yes
0x10501	0x10585	0x84	_main	main.c	yes
0x10585	0x105B2	0x2D	_trymain	main.c	yes
0x105B2	0x1074F	0x19D	MAIN_COMPILE	main.c	yes
0x1074F	0x10767	0x18	GETCURRENTPATH	main.c	yes
0x10767	0x1077D	0x16	OPENFILENAME	main.c	yes
0x1077D	0x10789	0xC	_handling_function	main.c	yes
0x10789	0x107D3	0x4A	TO_HUMAN	main.c	yes
0x107E0	0x1088D	0xAD	GET_KEYWORD	p0keys.c	yes
0x1088D	0x108BB	0x2E	IS_KEYWORD	p0keys.c	yes
0x108BB	0x108D5	0x1A	CLEAR_KEYWORD	p0keys.c	yes
0x108D5	0x10960	0x8B	IS_PKEYWORD	p0keys.c	yes
0x10960	0x109EE	0x8E	IS_PRAGMA	p0keys.c	yes
0x109F0	0x10A1C	0x2C	CVINITTYPES	typemit.c	yes
0x10A1C	0x10B30	0x114	CVASSIGNTYPE	typemit.c	yes
0x10B30	0x10BB8	0x88	PRIMITIVEINDIRECTIONTINDEX	typemit.c	yes
0x10BB8	0x10C38	0x80	PARTIALPRIMITIVETINDEX	typemit.c	yes
0x10C38	0x10CB9	0x81	PRIMITIVETINDEX	typemit.c	yes
0x10CB9	0x10D05	0x4C	ASSIGNFUNCTINDEX	typemit.c	yes
0x10D05	0x10D83	0x7E	ASSIGNPLIST	typemit.c	yes
0x10D83	0x10E14	0x91	CVASSIGNCLASSTINDEX	typemit.c	yes
0x10E14	0x10E7D	0x69	ALLOCCVTYPETABLE	typemit.c	yes
0x10E7D	0x10EBE	0x41	CLEARCVTYPETABLE	typemit.c	yes
0x10EBE	0x1103B	0x17D	CVEMITTYPES	typemit.c	yes
0x1103B	0x11202	0x1C7	EMITPTRTYPE	typemit.c	yes
0x11202	0x1124B	0x49	EMITARRAYTYPE	typemit.c	yes
0x1124B	0x11344	0xF9	EMITCLASSTYPE	typemit.c	yes
0x11344	0x113EB	0xA7	EMITSTRUCTTLIST	typemit.c	yes
0x113EB	0x114C2	0xD7	EMITSTRUCTNLIST	typemit.c	yes
0x114C2	0x1151E	0x5C	EMITBITFIELD	typemit.c	yes
0x1151E	0x115D3	0xB5	EMITFUNCTYPE	typemit.c	yes
