descriptor	dll	index	hint	name	iat_rva	iat_va
0	base.dll	0	81	GetCommandLineA	0x8003C	0x9003C
0	base.dll	1	93	GetEnvironmentStrings	0x80040	0x90040
0	base.dll	2	112	GetModuleHandleA	0x80044	0x90044
0	base.dll	3	132	GetStartupInfoA	0x80048	0x90048
0	base.dll	4	147	GetVersion	0x8004C	0x9004C
0	base.dll	5	261	UnhandledExceptionFilter	0x80050	0x90050
0	base.dll	6	276	WriteFile	0x80054	0x90054
0	base.dll	7	50	ExitProcess	0x80058	0x90058
0	base.dll	8	102	GetFileType	0x8005C	0x9005C
0	base.dll	9	134	GetStdHandle	0x80060	0x90060
0	base.dll	10	8	CloseHandle	0x80064	0x90064
0	base.dll	11	105	GetLastError	0x80068	0x90068
0	base.dll	12	42	DuplicateHandle	0x8006C	0x9006C
0	base.dll	13	85	GetCurrentProcess	0x80070	0x90070
0	base.dll	14	244	SetStdHandle	0x80074	0x90074
0	base.dll	15	58	FileTimeToSystemTime	0x80078	0x90078
0	base.dll	16	101	GetFileTime	0x8007C	0x9007C
0	base.dll	17	68	FlushFileBuffers	0x80080	0x90080
0	base.dll	18	265	VirtualAlloc	0x80084	0x90084
0	base.dll	19	238	SetFilePointer	0x80088	0x90088
0	base.dll	20	213	ReadFile	0x8008C	0x9008C
0	base.dll	21	110	GetModuleFileNameA	0x80090	0x90090
0	base.dll	22	18	CreateFileA	0x80094	0x90094
0	base.dll	23	98	GetFileAttributesA	0x80098	0x90098
0	base.dll	24	231	SetEndOfFile	0x8009C	0x9009C
0	base.dll	25	38	DeleteFileA	0x800A0	0x900A0
0	base.dll	26	266	VirtualFree	0x800A4	0x900A4
0	base.dll	27	138	GetSystemTime	0x800A8	0x900A8
1	ntdll.dll	0	2	DbgPrint	0x800B0	0x900B0
1	ntdll.dll	1	377	RtlUnwind	0x800B4	0x900B4
