index	virtual_address	value	type	pad	verified
0	0x1000E	0x428D0	3	0	yes
1	0x1001B	0x42914	3	0	yes
2	0x10020	0x42918	3	0	yes
3	0x10031	0x42914	3	0	yes
4	0x10036	0x42918	3	0	yes
5	0x10040	0x4292C	3	0	yes
6	0x10045	0x42930	3	0	yes
7	0x1004B	0x428D0	3	0	yes
8	0x10058	0x4290C	3	0	yes
9	0x1005D	0x42910	3	0	yes
10	0x1006E	0x4290C	3	0	yes
11	0x10073	0x42910	3	0	yes
12	0x1007D	0x42924	3	0	yes
13	0x10082	0x42928	3	0	yes
14	0x10088	0x415AC	3	0	yes
15	0x10091	0x42900	3	0	yes
16	0x1009A	0x415AC	3	0	yes
17	0x100A6	0x415AC	3	0	yes
18	0x100AF	0x51C10	3	0	yes
19	0x100B4	0x51C14	3	0	yes
20	0x100B9	0x51888	3	0	yes
21	0x100BE	0x5189C	3	0	yes
22	0x100C3	0x4294C	3	0	yes
23	0x100C8	0x428C4	3	0	yes
24	0x100CE	0x428F0	3	0	yes
25	0x100DE	0x428F8	3	0	yes
26	0x100EE	0x42934	3	0	yes
27	0x10103	0x42904	3	0	yes
28	0x10115	0x415A8	3	0	yes
29	0x1011B	0x41590	3	0	yes
30	0x10121	0x428F0	3	0	yes
31	0x1012A	0x428F8	3	0	yes
32	0x10133	0x42904	3	0	yes
33	0x1013C	0x42934	3	0	yes
34	0x10145	0x428F8	3	0	yes
35	0x10151	0x428F8	3	0	yes
36	0x1015A	0x428F0	3	0	yes
37	0x10160	0x428F8	3	0	yes
38	0x10166	0x428C0	3	0	yes
39	0x1016E	0x50000	3	0	yes
40	0x10178	0x50006	3	0	yes
41	0x10182	0x5000A	3	0	yes
42	0x1018C	0x50011	3	0	yes
43	0x10197	0x428F4	3	0	yes
44	0x101A0	0x41594	3	0	yes
45	0x101A8	0x50016	3	0	yes
46	0x101B2	0x517F8	3	0	yes
47	0x101BC	0x5001C	3	0	yes
48	0x101C6	0x50021	3	0	yes
49	0x101D3	0x428D4	3	0	yes
50	0x101DB	0x5180C	3	0	yes
51	0x101E5	0x51838	3	0	yes
52	0x101F0	0x4296C	3	0	yes
53	0x101F5	0x51AF8	3	0	yes
54	0x101FB	0x51AF8	3	0	yes
55	0x1020A	0x51AFC	3	0	yes
56	0x1020E	0x415B4	3	0	yes
57	0x10214	0x428D8	3	0	yes
58	0x1021C	0x428D8	3	0	yes
59	0x10221	0x428E0	3	0	yes
60	0x10227	0x428E0	3	0	yes
61	0x1022F	0x5002B	3	0	yes
62	0x10235	0x428E0	3	0	yes
63	0x10241	0x428DC	3	0	yes
64	0x1024B	0x428E0	3	0	yes
65	0x1025F	0x4295C	3	0	yes
66	0x10268	0x428C8	3	0	yes
67	0x10270	0x5002E	3	0	yes
68	0x10275	0x50039	3	0	yes
69	0x1027A	0x5003B	3	0	yes
70	0x10280	0x51C0C	3	0	yes
71	0x1028D	0x428B4	3	0	yes
72	0x10292	0x5003E	3	0	yes
73	0x10297	0x50046	3	0	yes
74	0x1029C	0x50048	3	0	yes
75	0x102A2	0x51C0C	3	0	yes
76	0x102AF	0x428E4	3	0	yes
77	0x102B5	0x42900	3	0	yes
78	0x102C2	0x428C8	3	0	yes
79	0x102CE	0x5004B	3	0	yes
