file	rva	length	end_rva
main.c	0x10000	0x7D3	0x107D3
D:\nt\private\crt32\linkopts\binmode.c	0x107E0	0x0	0x107E0
p0keys.c	0x107E0	0x20E	0x109EE
typemit.c	0x109F0	0xDE2	0x117D2
symbols.c	0x117E0	0x14AF	0x12C8F
types.c	0x12C90	0xCF7	0x13987
const.c	0x13990	0x947	0x142D7
trees.c	0x142E0	0x1D39	0x16019
based.c	0x16020	0x394	0x163B4
gramut.c	0x163C0	0x10A7	0x17467
esu.c	0x17470	0xE4C	0x182BC
ainline.c	0x182C0	0x536	0x187F6
agrammar.c	0x18800	0xA59	0x19259
atrees.c	0x19260	0x984	0x19BE4
alexer.c	0x19BF0	0x75D	0x1A34D
aoutline.c	0x1A350	0x1628	0x1B978
intrin.c	0x1B980	0x35D	0x1BCDD
p0id.c	0x1BCE0	0x3E7	0x1C0C7
p0scan.c	0x1C0D0	0x1293	0x1D363
Common\qcalloc	0x1D370	0x4B	0x1D3BB
thunk.c	0x1D3C0	0x353	0x1D713
function.c	0x1D720	0x910	0x1E030
toinil.c	0x1E030	0x854	0x1E884
funcs.c	0x1E890	0x9BA	0x1F24A
sizes.c	0x1F250	0x2D8	0x1F528
Common\alloc.c	0x1F530	0x197	0x1F6C7
p0macros.c	0x1F6D0	0x197F	0x2104F
Common\qtime2.	0x21050	0xFF	0x2114F
p0prepro.c	0x21150	0xBDE	0x21D2E
p0expr.c	0x21D30	0x767	0x22497
p0io.c	0x224A0	0x8D6	0x22D76
p1_init.c	0x22D80	0x1391	0x24111
toil.c	0x24120	0x18E3	0x25A03
symemit.c	0x25A10	0x44	0x25A54
Common\nfutil.	0x25A60	0x19D	0x25BFD
dname.c	0x25C00	0x657	0x26257
stmt.c	0x26260	0x587	0x267E7
p0pragma.c	0x267F0	0xC6D	0x2745D
esutil.c	0x27460	0xF7	0x27557
browser.c	0x27560	0x3A2	0x27902
p0gettok.c	0x27910	0xE97	0x287A7
grammar.c	0x287B0	0x1FE5	0x2A795
esumem.c	0x2A7A0	0x61B	0x2ADBB
esubit.c	0x2ADC0	0x28A	0x2B04A
loops.c	0x2B050	0xF5	0x2B145
esutree.c	0x2B150	0x2AC	0x2B3FC
zeegee.c	0x2B400	0x854	0x2BC54
aglobals.c	0x2BC60	0x0	0x2BC60
globals.c	0x2BC60	0x0	0x2BC60
initmain.c	0x2BC60	0x1B9	0x2BE19
afar.c	0x2BE20	0x0	0x2BE20
p0chrmap.c	0x2BE20	0x0	0x2BE20
Common\cmath.c	0x2BE20	0x3D2	0x2C1F2
Common\error.c	0x2C200	0x690	0x2C890
Common\initil.	0x2C890	0x0	0x2C890
Common\getflag	0x2C890	0x428	0x2CCB8
Common\pragma.	0x2CCC0	0x0	0x2CCC0
hack.c	0x2CCC0	0x0	0x2CCC0
tokens.c	0x2CCC0	0x0	0x2CCC0
D:\nt\private\crt32st\startup\wincrt0.c	0x2CCC0	0x1D8	0x2CE98
C:\nt\private\sdktools\cl386\c1\winmain.c	0x2CEC4	0xA0	0x2CF64
Common\io.c	0x2CF64	0x2D7	0x2D23B
D:\nt\private\crt32st\startup\crt0msg.c	0x2D244	0x94	0x2D2D8
