section	rva	line	file	function	symbol_index
.text	0x2CCC0	154	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CCCC	161	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CCD6	162	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CCE0	169	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CCEA	174	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CCF2	175	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CCFE	176	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CD0D	182	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CD26	183	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CD38	196	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CD3D	197	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CD42	198	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CD47	199	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CD4C	201	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CD51	332	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CD74	337	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CD7C	338	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CD80	339	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CD83	340	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CD8B	345	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CD95	346	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CD98	347	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CDA0	353	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CDBD	358	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CDF3	359	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CDFE	372	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CE09	373	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CE10	429	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CE18	462	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CE24	463	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CE2A	467	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CE32	471	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CE4F	476	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CE72	487	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CE78	514	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CE7B	515	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CE80	516	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CE8A	517	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2CE95	518	D:\nt\private\crt32st\startup\wincrt0.c		
.text	0x2D244	146	D:\nt\private\crt32st\startup\crt0msg.c		
.text	0x2D251	147	D:\nt\private\crt32st\startup\crt0msg.c		
.text	0x2D25A	148	D:\nt\private\crt32st\startup\crt0msg.c		
.text	0x2D260	149	D:\nt\private\crt32st\startup\crt0msg.c		
.text	0x2D26D	150	D:\nt\private\crt32st\startup\crt0msg.c		
.text	0x2D270	174	D:\nt\private\crt32st\startup\crt0msg.c		
.text	0x2D278	179	D:\nt\private\crt32st\startup\crt0msg.c		
.text	0x2D282	180	D:\nt\private\crt32st\startup\crt0msg.c		
.text	0x2D292	183	D:\nt\private\crt32st\startup\crt0msg.c		
.text	0x2D2A2	194	D:\nt\private\crt32st\startup\crt0msg.c		
.text	0x2D2D1	211	D:\nt\private\crt32st\startup\crt0msg.c		
.text	0x2D2EA	276	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D2F2	322	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D301	323	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D310	324	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D31F	327	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D328	329	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D33E	335	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D34E	336	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D355	337	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D365	338	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D36C	327	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D37A	351	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D383	352	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D389	358	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D392	359	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D398	364	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D3A1	365	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D3A7	370	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D3B0	371	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D3B6	376	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D3BF	377	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D3C5	404	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D3CA	488	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D3CD	489	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D3D9	490	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D3DE	495	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D3E1	496	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D3ED	497	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D3F2	503	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D400	504	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D402	510	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D410	511	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D412	518	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D419	526	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D420	528	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D426	532	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D42F	533	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D43D	551	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D446	552	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D44C	557	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D455	558	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D45B	563	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D464	564	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D46A	592	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D46E	607	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D479	624	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D47E	737	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D485	742	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D48A	747	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D48F	748	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D491	749	D:\nt\private\crt32st\startup\crt0dat.c		
.text	0x2D4BC	44	D:\nt\private\fp32st\conv\i386\atold.c		
.text	0x2D4C2	48	D:\nt\private\fp32st\conv\i386\atold.c		
.text	0x2D4D4	50	D:\nt\private\fp32st\conv\i386\atold.c		
.text	0x2D4DB	51	D:\nt\private\fp32st\conv\i386\atold.c		
.text	0x2D4EC	53	D:\nt\private\fp32st\conv\strgtold.c		
