index	virtual_address	value	type	pad	stored	validated
0	0x00010002	0x00070860	3	0	0x00080860	True
1	0x00010008	0x00070860	3	0	0x00080860	True
2	0x00010011	0x00070864	3	0	0x00080864	True
3	0x00010017	0x00070864	3	0	0x00080864	True
4	0x00010038	0x0007000c	3	0	0x0008000c	True
5	0x00010040	0x00070004	3	0	0x00080004	True
6	0x00010048	0x00070008	3	0	0x00080008	True
7	0x00010050	0x00070000	3	0	0x00080000	True
8	0x00010064	0x00070880	3	0	0x00080880	True
9	0x0001006b	0x00080428	3	0	0x00090428	True
10	0x00010070	0x000803fe	3	0	0x000903fe	True
11	0x0001008d	0x00070004	3	0	0x00080004	True
12	0x00010096	0x00070008	3	0	0x00080008	True
13	0x0001009f	0x00070000	3	0	0x00080000	True
14	0x000100aa	0x0007000c	3	0	0x0008000c	True
15	0x000100b0	0x00070880	3	0	0x00080880	True
16	0x000100b7	0x00080428	3	0	0x00090428	True
17	0x000100bc	0x00080413	3	0	0x00090413	True
18	0x000100cf	0x00070868	3	0	0x00080868	True
19	0x000100dd	0x00070868	3	0	0x00080868	True
20	0x000100ee	0x00070880	3	0	0x00080880	True
21	0x000100f5	0x00080428	3	0	0x00090428	True
22	0x00010119	0x00080444	3	0	0x00090444	True
23	0x00010136	0x00080452	3	0	0x00090452	True
24	0x0001013c	0x000800f8	3	0	0x000900f8	True
25	0x0001014d	0x00010000	3	0	0x00020000	True
26	0x00010158	0x00080258	3	0	0x00090258	True
27	0x00010174	0x000801a0	3	0	0x000901a0	True
28	0x0001017d	0x000801a0	3	0	0x000901a0	True
29	0x0001019c	0x00070888	3	0	0x00080888	True
30	0x000101a5	0x00070888	3	0	0x00080888	True
31	0x000101ab	0x00070888	3	0	0x00080888	True
32	0x000101b0	0x00070890	3	0	0x00080890	True
33	0x000101b5	0x00080455	3	0	0x00090455	True
34	0x000101bb	0x000800e4	3	0	0x000900e4	True
35	0x000101c8	0x00080458	3	0	0x00090458	True
36	0x000101cd	0x0008045f	3	0	0x0009045f	True
