index	source	source_raw	start_rva	end_rva	length	functions
0	compiler_contribution_000 [_nextword, _out_of_mem, _startp2...]	c:\c6\\cmerge\	0x00010000	0x00010d98	0xd98	_nextword; _out_of_mem; _startp2; _settle_Oswitches; _dop2; _main; _real_main; _put_block; _freeblock
1	D:\nt\private\crt32\linkopts\binmode.c	D:\nt\private\crt32\linkopts\binmode.c	0x00010da0	0x00010da0	0x0	
2	compiler_contribution_002 [_bitv_init, _bvalloc, _freebv...]	c:\c6\\cmerge\	0x00010da0	0x00011708	0x968	_bitv_init; _bvalloc; _freebv; _bvnodecount; _bvextend; _bvcpy; _bvclr; _bvset; _bvany; _bvcount; _bvnext; _bvnnext; _bvcmp; _bvor; _bvand; _bvandnot; _bvnotand; _bvunion; _bvintersect; _bvunionminus; _bvunion_am; _bitscom; _bitset; _bitclr; _bittst; _prbv; _print_bitv; _prbbva
3	compiler_contribution_003 [_globalregs, _gather_gramregs_requirements, _build_allocation_ranges...]	c:\c6\\cmerge\	0x00011710	0x0001a5f4	0x8ee4	_globalregs; _gather_gramregs_requirements; _build_allocation_ranges; _build_ars_recursive; _build_ar; _que_build_ar; _deque_build_ar; _do_ar_annexation; _new_arnode; _free_arnode; _foreach_bl; _gather_ar_gramregs; _proc_interferes; _proc_i_internal; _color_regs; _calc_savings; _chuck_invalid; _calculate_interf_graph; _calculate_adjacency_life; _check_lifes; _allocate_trivially_colorable; _sort_scaledsavings; _sort_fp_regnums; _allocate_tough_ones; _adjacent_got_allocated; _samelife_got_allocated; _any_regs_avail_in_ar; _allocate_ar; _deallocate_ar; _sort_life_thread; _propagate_adr_attribute; _propagate_def_attribute; _assign_regs; _dup_shrunk_ar; _too_cheap_shrink; _do_ar_conservative_annexation; _post_assign_reassign; _allocate_assign_segments; _find_au_in_bl; _is_exactly_loop; _global_worthit; _reg_rewrite; _tree_reg_rewrite; _rewrite_short_addr; _tree_reg_rewrite_seg; _tree_reg_rewrite_seg_recursive; _regpragmas; _in_life; _find_ar; _delete_regarg_intrinsics; _enterloads_exitsaves; _skip_airlocks; _foreach_flow; _update_fp_inregs; _enterloads; _insert_segload_maybe; _exitsaves; _exithack; _exithack_internal; _insert_load; _fold_seg_load; _ins_label; _build_airlock; _buildload; _buildsave; _dgroup_tree; _save_dgroup_maybe; _mark_blocks_gramregs; _build_prreg; _findtrees; _findtrees_internal; _handle_fp_stack_top; _lock_and_dereg; _build_fp_prreg; _color_locals; _loop_scale; _loop_scale2; _ghash_find; _find_const_erseg; _free_some_bits; _build_const_bits; _bcb_recursive_guy; _seg_pseudo_extract_bit; _add_arblset; _checkfor_warnings; _prars; _prarss; _prarsl; _prardex; _prarintrf; _prar
4	compiler_contribution_004 [_assign_regMD, _assign_segregMD, _wanto_reassignMD...]	c:\c6\\cmerge\	0x0001a600	0x0001c720	0x2120	_assign_regMD; _assign_segregMD; _wanto_reassignMD; _reassign_regMD; _reg_classMD; _init_class_countsMD; _Dgroup_for_sureMD; _dont_loadMD; _get_class_countMD; _dec_class_countMD; _mark_reg_statusMD; _get_reg_statusMD; _gramregs_reqMD; _gramregs_reqMD_internal; _seg_is_considered; _reg_interferesMD; _foreach_calleesaveMD; _intrinsic_gramregs; _init_grammarstyle_gramregsMD; _mark_grammarstyle_regMD; _lock_axdxMD; _lock_returnFPregMD; _twiddle_ax_opreturn_bitsMD; _handle_ax_returnMD; _handle_FP0_returnMD; _fp_stack_levelMD; _combine_regsMD; _offsetpartMD; _segpartMD; _Dgroup_trashedMD; _cmp_regvalsMD; _is_seg_regMD; _allocMD; _aligned_okMD; _wrapup_localsMD; _init_localsMD; _is_regargMD; _isthere_proccallMD; _is_ds_lockedMD; _isthere_introrproccallMD; _float_regs_required; _float_expr; _frval_notmp; _frval_int; _adr; _clear_copyval; _fld; _fstp; _prgramregs
5	compiler_contribution_005 [_frame_addr, _segnumtoreg, _relseg_internal...]	c:\c6\\cmerge\	0x0001c720	0x0001f7f0	0x30d0	_frame_addr; _segnumtoreg; _relseg_internal; _relseg; _csrel; _framerel; _mayberelseg; _segpart; _MDlongaddr; _near_address; _skipcv; _md_complex; _mdcanontree; _mdcanonnode; _mbretptr; _farlocal; _cheap_op; _check_predef; _adjust_frame; _set_base; _datalloc; _allotemp; _realign; _redo_locals; _cg_exit; _segconst; _isreallyfloatconst; _findfloatconst; _findfloatconstval; _float_il; _floatconst; _findseg; _sym_is_const; _segment; _create_seg; _newseg; _user_naminseg; _segtable; _segcheck; _read_export; _write_export; _md_blk_asg; _MDlo_part; _MDhi_part; _new_text_seg; _find_seg; _init_current_seg; _write_seg_offs; _all_segregs_lockedMD; _data_in_code; _emit_data_in_code; _save_allocMD; _reset_allocMD; _get_default_blregs; _howcheap; _howcheap_services; _howcheap_internal; _find_foptype; _fptoocheap; _nofloat
6	compiler_contribution_006 [_gettree, _gettree_internal, _tl_to_EBB...]	c:\c6\\cmerge\	0x0001f7f0	0x0002148c	0x1c9c	_gettree; _gettree_internal; _tl_to_EBB; _characteristic; _tree_init; _newnode; _newleaf; _do_allotemp; _clear_leaf_pool; _free_leaf_pool; _foreach_leaf; _prleafpool; _freenode; _isfreenode; _freetree; _unlink_mark; _freechildren; _freehyb; _countnode; _lstcount; _nodestats; _pfreenodes; _getnode; _readc; _new_tl; _tl_count; _addtree; _free_tl; _new_bl; _add_tl; _free_bl; _treewalk; _treewalkp; _blockwalk; _blockwalkp; _tr_insert; _ntr_insert; _tl_insert; _endproc; _endblock; _maketree; _copynode; _copytype; _dupnode
7	compiler_contribution_007 [_cg_canon, _imbed_walk, _linkmarks...]	c:\c6\\cmerge\	0x00021490	0x00026a88	0x55f8	_cg_canon; _imbed_walk; _linkmarks; _construct_clause; _check_exprimbed; _build_shtree; _subexpr_imbed; _ok_to_imbed_here; _enter_assign; _remove_conflicts; _moveto_imlist; _move_assign; _move_imbedded_assign; _deadnode; _dead_store; _count_marks; _find_repl; _calc_vused; _post_imbed_walk; _post_tree_walk; _pushmark; _dummy_mark; _final_walk; _final_walk_of_trees; _final_walk_td; _rewrite_regarg; _flttostruct; _final_walk_bu; _small_mb; _deep_search_opeq; _typetree; _check_opeq; _skipmark; _check_postfix; _is_assigntemp; _eq_xform; _remove_used; _samecvt; _uses_reg; _av_interf; _mark_above_assign; _clear_avlist; _free_assign; _free_interf; _free_shtree; _new_avnode; _new_shnode; _free_some_shnodes; _free_avnode; _free_shnode; _new_il; _free_il; _append_list; _copy_list; _do_enreg; _blenregt; _handle_reg_args; _globcse_stats; _globcse_rewrite; _prshtree; _printerf; _shnode_stats
8	compiler_contribution_008 [_flow, _find_label, _add_caller...]	c:\c6\\cmerge\	0x00026a90	0x00029c28	0x3198	_flow; _find_label; _add_caller; _break_synonyms; _add_label; _transitive_closure_alternates; _transitive_closure_internal; _print_labels; _build_label_map; _coalesce_labels; _dont_coalesce_these; _initialize_lexer; _unget_treelist; _next_treelist; _build_flow_graph; _add_fflow; _add_bflow; _add_flows; _in_flow; _remove_flow; _remove_flow_if; _fixup_labels; _build_DFO; _recursive_DFO; _sort_flow; _flow_count; _break_fallthrough; _transfer_dest; _last_tl; _filter_dead_code; _recursive_all_paths; _free_dead_code; _pack_DFO; _blockmerge_loopupdate; _check_flow; _calc_dom; _find_loops; _src_is_reachable; _src_is_reachable_internal; _collect_tails; _mark_loop_body; _mark_loop_body_internal; _expand_tails; _fixup_tails; _update_tails; _remove_break_blocks; _remove_break_blocks_1loop; _not_parent_loop; _enumerate_DFO; _canonicalize_loops1; _canonicalize_loops2; _is_in_loop; _handle_blkstart_opexit; _print_flow; _print_loop; _print_loop_internal; _print_dom; _init_heap; _new_labelnode; _new_flownode; _free_flownode; _free_bl_flow; _new_loopnode; _free_heap
9	compiler_contribution_009 [_machine_type, _ReserveBxMask, _alloregparams...]	c:\c6\\cmerge\	0x00029c30	0x0002a728	0xaf8	_machine_type; _ReserveBxMask; _alloregparams; _is_huge; _halloc; _new_entry; _far16_tree; _emit_far16
