index	rva	line	source	source_raw
0	0x0004cd00	92	D:\nt\private\crt32st\lowio\close.c	D:\nt\private\crt32st\lowio\close.c
1	0x0004cd08	96	D:\nt\private\crt32st\lowio\close.c	D:\nt\private\crt32st\lowio\close.c
2	0x0004cd10	98	D:\nt\private\crt32st\lowio\close.c	D:\nt\private\crt32st\lowio\close.c
3	0x0004cd1a	99	D:\nt\private\crt32st\lowio\close.c	D:\nt\private\crt32st\lowio\close.c
4	0x0004cd24	100	D:\nt\private\crt32st\lowio\close.c	D:\nt\private\crt32st\lowio\close.c
5	0x0004cd30	112	D:\nt\private\crt32st\lowio\close.c	D:\nt\private\crt32st\lowio\close.c
6	0x0004cd52	117	D:\nt\private\crt32st\lowio\close.c	D:\nt\private\crt32st\lowio\close.c
7	0x0004cd5b	135	D:\nt\private\crt32st\lowio\close.c	D:\nt\private\crt32st\lowio\close.c
8	0x0004cd5f	138	D:\nt\private\crt32st\lowio\close.c	D:\nt\private\crt32st\lowio\close.c
9	0x0004cd6c	141	D:\nt\private\crt32st\lowio\close.c	D:\nt\private\crt32st\lowio\close.c
10	0x0004cd73	143	D:\nt\private\crt32st\lowio\close.c	D:\nt\private\crt32st\lowio\close.c
11	0x0004cd75	144	D:\nt\private\crt32st\lowio\close.c	D:\nt\private\crt32st\lowio\close.c
12	0x0004cd8c	38	D:\nt\private\fp32st\tran\i386\ieee87.c	D:\nt\private\fp32st\tran\i386\ieee87.c
13	0x0004cd92	41	D:\nt\private\fp32st\tran\i386\ieee87.c	D:\nt\private\fp32st\tran\i386\ieee87.c
14	0x0004cd96	43	D:\nt\private\fp32st\tran\i386\ieee87.c	D:\nt\private\fp32st\tran\i386\ieee87.c
15	0x0004cd9a	44	D:\nt\private\fp32st\tran\i386\ieee87.c	D:\nt\private\fp32st\tran\i386\ieee87.c
16	0x0004cd9c	61	D:\nt\private\fp32st\tran\i386\ieee87.c	D:\nt\private\fp32st\tran\i386\ieee87.c
17	0x0004cda2	65	D:\nt\private\fp32st\tran\i386\ieee87.c	D:\nt\private\fp32st\tran\i386\ieee87.c
18	0x0004cda6	66	D:\nt\private\fp32st\tran\i386\ieee87.c	D:\nt\private\fp32st\tran\i386\ieee87.c
19	0x0004cda9	68	D:\nt\private\fp32st\tran\i386\ieee87.c	D:\nt\private\fp32st\tran\i386\ieee87.c
20	0x0004cdad	69	D:\nt\private\fp32st\tran\i386\ieee87.c	D:\nt\private\fp32st\tran\i386\ieee87.c
21	0x0004cdb0	87	D:\nt\private\fp32st\tran\i386\ieee87.c	D:\nt\private\fp32st\tran\i386\ieee87.c
22	0x0004cdb6	92	D:\nt\private\fp32st\tran\i386\ieee87.c	D:\nt\private\fp32st\tran\i386\ieee87.c
23	0x0004cdba	95	D:\nt\private\fp32st\tran\i386\ieee87.c	D:\nt\private\fp32st\tran\i386\ieee87.c
24	0x0004cdd4	98	D:\nt\private\fp32st\tran\i386\ieee87.c	D:\nt\private\fp32st\tran\i386\ieee87.c
25	0x0004cdd7	101	D:\nt\private\fp32st\tran\i386\ieee87.c	D:\nt\private\fp32st\tran\i386\ieee87.c
