name	c2_rva	c3_rva	c2_source	c3_source
_$I10_OUTPUT	0x0004e41a	0x0002770e	D:\nt\private\fp32st\conv\x10fout.c	D:\nt\private\fp32st\conv\x10fout.c
_CloseHandle	0x0004cd80	0x00027190		
_CreateFileA	0x0005e248	0x0002ae48		
_DbgPrint	0x0004d0be	0x000291c2		
_DeleteFileA	0x0005dd82	0x0002a8f2		
_ExitProcess	0x0004cfac	0x0002738c		
_FlushFileBuffers	0x0004f194	0x00029614		
_GetCommandLineA	0x0004ec8a	0x0002907e		
_GetEnvironmentStrings	0x0004ec90	0x00029084		
_GetFileAttributesA	0x0005e24e	0x0002ae4e		
_GetFileType	0x0004cfb2	0x00027392		
_GetLastError	0x0004cd86	0x00027196		
_GetModuleFileNameA	0x0004f75c	0x00029bdc		
_GetStartupInfoA	0x0004ec96	0x0002908a		
_GetStdHandle	0x0004cfb8	0x00027398		
_GetVersion	0x0004ec9c	0x00029090		
_ReadFile	0x0004f536	0x000299b6		
_RtlUnwind	0x0004d0c4	0x000291c8		
_SetEndOfFile	0x0005e254	0x0002ae54		
_SetFilePointer	0x0004f2f0	0x00029770		
_SetStdHandle	0x0004ef6e	0x000293ee		
_UnhandledExceptionFilter	0x0004eca2	0x00029096		
_VirtualAlloc	0x0004f22a	0x000296aa		
_VirtualFree	0x00064390	0x0002c9ca		
_WriteFile	0x0004ed48	0x0002913c		
__FF_MSGBANNER	0x0004eca8	0x0002909c	D:\nt\private\crt32st\startup\crt0msg.c	D:\nt\private\crt32st\startup\crt0msg.c
__NMSG_WRITE	0x0004ecd4	0x000290c8	D:\nt\private\crt32st\startup\crt0msg.c	D:\nt\private\crt32st\startup\crt0msg.c
___STRINGTOLD	0x0004d87a	0x0002886e	D:\nt\private\fp32st\conv\strgtold.c	D:\nt\private\fp32st\conv\strgtold.c
___add_12	0x0004de86	0x00027b0a	D:\nt\private\fp32st\conv\mantold.c	D:\nt\private\fp32st\conv\mantold.c
___addl	0x0004de3a	0x00027abe	D:\nt\private\fp32st\conv\mantold.c	D:\nt\private\fp32st\conv\mantold.c
___dtold	0x0004e7ca	0x00027d3e	D:\nt\private\fp32st\conv\ldtod.c	D:\nt\private\fp32st\conv\ldtod.c
___ld12mul	0x0004e0ba	0x00027fae	D:\nt\private\fp32st\conv\tenpow.c	D:\nt\private\fp32st\conv\tenpow.c
___ldtod	0x0004e8d6	0x00027e4a	D:\nt\private\fp32st\conv\ldtod.c	D:\nt\private\fp32st\conv\ldtod.c
___mtold12	0x0004dfb2	0x00027c36	D:\nt\private\fp32st\conv\mantold.c	D:\nt\private\fp32st\conv\mantold.c
___multtenpow12	0x0004e326	0x0002821a	D:\nt\private\fp32st\conv\tenpow.c	D:\nt\private\fp32st\conv\tenpow.c
___shl_12	0x0004df06	0x00027b8a	D:\nt\private\fp32st\conv\mantold.c	D:\nt\private\fp32st\conv\mantold.c
___shr_12	0x0004df56	0x00027bda	D:\nt\private\fp32st\conv\mantold.c	D:\nt\private\fp32st\conv\mantold.c
__access	0x0005e25a	0x0002ae5a	D:\nt\private\crt32st\dos\access.c	D:\nt\private\crt32st\dos\access.c
__alloc_osfhnd	0x0004ed4e	0x000291ce	D:\nt\private\crt32st\lowio\osfinfo.c	D:\nt\private\crt32st\lowio\osfinfo.c
__amsg_exit	0x0004ec66	0x0002905a	D:\nt\private\crt32st\startup\crt0.c	D:\nt\private\crt32st\startup\crt0.c
__atold	0x0004d84a	0x0002883e	D:\nt\private\fp32st\conv\i386\atold.c	D:\nt\private\fp32st\conv\i386\atold.c
__c_exit	0x0004cf04	0x000272e4	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
__cexit	0x0004cef4	0x000272d4	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
__cfltcvt	0x0004d7c6	0x000287ba	D:\nt\private\fp32st\conv\cvt.c	D:\nt\private\fp32st\conv\cvt.c
__cfltcvt_init	0x0004d2b6	0x000282aa	D:\nt\private\fp32st\conv\fpinit.c	D:\nt\private\fp32st\conv\fpinit.c
__cftoe	0x0004d432	0x00028426	D:\nt\private\fp32st\conv\cvt.c	D:\nt\private\fp32st\conv\cvt.c
__cftof	0x0004d5b6	0x000285aa	D:\nt\private\fp32st\conv\cvt.c	D:\nt\private\fp32st\conv\cvt.c
__cftog	0x0004d706	0x000286fa	D:\nt\private\fp32st\conv\cvt.c	D:\nt\private\fp32st\conv\cvt.c
__chkstk	0x0004ccd0	0x0002719c	i386\chkstk.asm	i386\chkstk.asm
__chsize	0x0005e2ba	0x0002aeba	D:\nt\private\crt32st\lowio\chsize.c	D:\nt\private\crt32st\lowio\chsize.c
__cinit	0x0004cdec	0x000271cc	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
__close	0x0004cd00	0x00027110	D:\nt\private\crt32st\lowio\close.c	D:\nt\private\crt32st\lowio\close.c
__commit	0x0004f124	0x000295a4	D:\nt\private\crt32st\lowio\commit.c	D:\nt\private\crt32st\lowio\commit.c
__cropzeros	0x0004d35e	0x00028352	D:\nt\private\fp32st\conv\cvt.c	D:\nt\private\fp32st\conv\cvt.c
__dosmaperr	0x0004cfbe	0x0002739e	D:\nt\private\crt32st\dos\dosmap.c	D:\nt\private\crt32st\dos\dosmap.c
__endstdio	0x0004f10c	0x0002958c	D:\nt\private\crt32st\stdio\fflush.c	D:\nt\private\crt32st\stdio\fflush.c
__except_handler	0x0004d03e	0x00029142	i386\crtexcpt.asm	i386\crtexcpt.asm
__exit	0x0004cee0	0x000272c0	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
__fassign	0x0004d3ee	0x000283e2	D:\nt\private\fp32st\conv\cvt.c	D:\nt\private\fp32st\conv\cvt.c
__fcloseall	0x0004f19a	0x0002961a	D:\nt\private\crt32st\stdio\closeall.c	D:\nt\private\crt32st\stdio\closeall.c
__filbuf	0x0004d0ca	0x000274be	D:\nt\private\crt32st\stdio\_filbuf.c	D:\nt\private\crt32st\stdio\_filbuf.c
__flsbuf	0x0004d17a	0x0002756e	D:\nt\private\crt32st\stdio\_flsbuf.c	D:\nt\private\crt32st\stdio\_flsbuf.c
__fltin	0x0004fb52	0x0002a002	D:\nt\private\fp32st\conv\cfin.c	D:\nt\private\fp32st\conv\cfin.c
__fltout	0x0004e3aa	0x0002769e	D:\nt\private\fp32st\conv\cfout.c	D:\nt\private\fp32st\conv\cfout.c
__flush	0x0004f010	0x00029490	D:\nt\private\crt32st\stdio\fflush.c	D:\nt\private\crt32st\stdio\fflush.c
__flushall	0x0004f084	0x00029504	D:\nt\private\crt32st\stdio\fflush.c	D:\nt\private\crt32st\stdio\fflush.c
__forcdecpt	0x0004d2ea	0x000282de	D:\nt\private\fp32st\conv\cvt.c	D:\nt\private\fp32st\conv\cvt.c
__fpclear	0x0004d2b2	0x000282a6	D:\nt\private\fp32st\conv\fpinit.c	D:\nt\private\fp32st\conv\fpinit.c
__fpmath	0x0004d2aa	0x0002829e	D:\nt\private\fp32st\conv\fpinit.c	D:\nt\private\fp32st\conv\fpinit.c
__fptostr	0x0004ea3a	0x00028e2e	D:\nt\private\crt32st\convert\_fptostr.c	D:\nt\private\crt32st\convert\_fptostr.c
__fptrap	0x0004eaca	0x00028ebe	D:\nt\private\crt32st\startup\crt0fp.c	D:\nt\private\crt32st\startup\crt0fp.c
__free_osfhnd	0x0004ee0a	0x0002928a	D:\nt\private\crt32st\lowio\osfinfo.c	D:\nt\private\crt32st\lowio\osfinfo.c
__freebuf	0x0005dc22	0x0002a792	D:\nt\private\crt32st\stdio\_freebuf.c	D:\nt\private\crt32st\stdio\_freebuf.c
