dll	iat_rva	name	hint
base.dll	0x0006003c	CloseHandle	8
base.dll	0x00060040	GetLastError	105
base.dll	0x00060044	ExitProcess	50
base.dll	0x00060048	GetFileType	102
base.dll	0x0006004c	GetStdHandle	134
base.dll	0x00060050	GetCommandLineA	81
base.dll	0x00060054	GetEnvironmentStrings	93
base.dll	0x00060058	GetStartupInfoA	132
base.dll	0x0006005c	GetVersion	147
base.dll	0x00060060	UnhandledExceptionFilter	261
base.dll	0x00060064	WriteFile	276
base.dll	0x00060068	SetStdHandle	244
base.dll	0x0006006c	FlushFileBuffers	68
base.dll	0x00060070	VirtualAlloc	265
base.dll	0x00060074	SetFilePointer	238
base.dll	0x00060078	ReadFile	213
base.dll	0x0006007c	GetModuleFileNameA	110
base.dll	0x00060080	DeleteFileA	38
base.dll	0x00060084	CreateFileA	18
base.dll	0x00060088	GetFileAttributesA	98
base.dll	0x0006008c	SetEndOfFile	231
base.dll	0x00060090	VirtualFree	266
base.dll	0x00060094	GetSystemTime	138
ntdll.dll	0x0006009c	DbgPrint	2
ntdll.dll	0x000600a0	RtlUnwind	377
