index	name	value	section	type	storage	naux	file
0	.file	0x00000009	-2	0	103	1	c:\c6\\cmerge\
2	.text	0x00010000	1	0	3	1	c:\c6\\cmerge\
4	.data	0x00030000	3	0	3	1	c:\c6\\cmerge\
6	.bss	0x00020000	2	0	3	1	c:\c6\\cmerge\
8	FLAT	0x00000000	-1	0	3	0	c:\c6\\cmerge\
9	.file	0x00000014	-2	0	103	3	D:\nt\private\crt32\linkopts\binmode.c
13	.text	0x000127c0	1	0	3	1	D:\nt\private\crt32\linkopts\binmode.c
15	.data	0x00030930	3	0	3	1	D:\nt\private\crt32\linkopts\binmode.c
17	.bss	0x00020020	2	0	3	1	D:\nt\private\crt32\linkopts\binmode.c
19	FLAT	0x00000000	-1	0	3	0	D:\nt\private\crt32\linkopts\binmode.c
20	.file	0x0000001d	-2	0	103	1	c:\c6\\cmerge\
22	.text	0x000127c0	1	0	3	1	c:\c6\\cmerge\
24	.data	0x00030940	3	0	3	1	c:\c6\\cmerge\
26	.bss	0x00020020	2	0	3	1	c:\c6\\cmerge\
28	FLAT	0x00000000	-1	0	3	0	c:\c6\\cmerge\
29	.file	0x00000026	-2	0	103	1	c:\c6\\cmerge\
31	.text	0x00014060	1	0	3	1	c:\c6\\cmerge\
33	.data	0x00030c80	3	0	3	1	c:\c6\\cmerge\
35	.bss	0x00020020	2	0	3	1	c:\c6\\cmerge\
37	FLAT	0x00000000	-1	0	3	0	c:\c6\\cmerge\
38	.file	0x00000032	-2	0	103	2	D:\nt\private\crt32st\dos\access.c
41	.text	0x00014060	1	0	3	1	D:\nt\private\crt32st\dos\access.c
43	.data	0x00031bc0	3	0	3	1	D:\nt\private\crt32st\dos\access.c
45	.bss	0x00020020	2	0	3	1	D:\nt\private\crt32st\dos\access.c
47	FLAT	0x00000000	-1	0	3	0	D:\nt\private\crt32st\dos\access.c
48	.idata$6	0x000400dc	4	0	3	0	D:\nt\private\crt32st\dos\access.c
49	.idata$6	0x000400f2	4	0	3	0	D:\nt\private\crt32st\dos\access.c
50	.file	0x0000003a	-2	0	103	1	i386\chkstk.asm
52	.text	0x000140cc	1	0	3	1	i386\chkstk.asm
54	.data	0x00031bc0	3	0	3	1	i386\chkstk.asm
56	DGROUP	0x00031bc0	3	0	3	0	i386\chkstk.asm
57	FLAT	0x00000000	-1	0	3	0	i386\chkstk.asm
58	.file	0x00000045	-2	0	103	2	D:\nt\private\crt32st\lowio\close.c
61	.text	0x000140fc	1	0	3	1	D:\nt\private\crt32st\lowio\close.c
63	.data	0x00031bc0	3	0	3	1	D:\nt\private\crt32st\lowio\close.c
65	.bss	0x00020020	2	0	3	1	D:\nt\private\crt32st\lowio\close.c
67	FLAT	0x00000000	-1	0	3	0	D:\nt\private\crt32st\lowio\close.c
68	.idata$6	0x00040102	4	0	3	0	D:\nt\private\crt32st\lowio\close.c
69	.file	0x00000055	-2	0	103	3	D:\nt\private\crt32st\startup\crt0dat.c
73	.text	0x00014182	1	0	3	1	D:\nt\private\crt32st\startup\crt0dat.c
75	.data	0x00031bc0	3	0	3	1	D:\nt\private\crt32st\startup\crt0dat.c
77	.bss	0x00020020	2	0	3	1	D:\nt\private\crt32st\startup\crt0dat.c
79	FLAT	0x00000000	-1	0	3	0	D:\nt\private\crt32st\startup\crt0dat.c
80	_doinitterm	0x00014316	1	0	3	0	D:\nt\private\crt32st\startup\crt0dat.c
81	doexit	0x000142aa	1	0	3	0	D:\nt\private\crt32st\startup\crt0dat.c
82	.idata$6	0x00040110	4	0	3	0	D:\nt\private\crt32st\startup\crt0dat.c
83	.idata$6	0x0004011e	4	0	3	0	D:\nt\private\crt32st\startup\crt0dat.c
84	.idata$6	0x0004012c	4	0	3	0	D:\nt\private\crt32st\startup\crt0dat.c
85	.file	0x0000005f	-2	0	103	2	D:\nt\private\crt32st\dos\dosmap.c
88	.text	0x00014354	1	0	3	1	D:\nt\private\crt32st\dos\dosmap.c
90	.data	0x00031d80	3	0	3	1	D:\nt\private\crt32st\dos\dosmap.c
92	.bss	0x00020020	2	0	3	1	D:\nt\private\crt32st\dos\dosmap.c
94	FLAT	0x00000000	-1	0	3	0	D:\nt\private\crt32st\dos\dosmap.c
95	.file	0x0000006b	-2	0	103	2	D:\nt\private\crt32st\lowio\dup2.c
98	.text	0x000143d4	1	0	3	1	D:\nt\private\crt32st\lowio\dup2.c
100	.data	0x00031dd0	3	0	3	1	D:\nt\private\crt32st\lowio\dup2.c
102	.bss	0x00020020	2	0	3	1	D:\nt\private\crt32st\lowio\dup2.c
104	FLAT	0x00000000	-1	0	3	0	D:\nt\private\crt32st\lowio\dup2.c
105	.idata$6	0x0004013c	4	0	3	0	D:\nt\private\crt32st\lowio\dup2.c
106	.idata$6	0x0004014e	4	0	3	0	D:\nt\private\crt32st\lowio\dup2.c
107	.file	0x00000077	-2	0	103	3	D:\nt\private\crt32st\lowio\osfinfo.c
111	.text	0x000144c0	1	0	3	1	D:\nt\private\crt32st\lowio\osfinfo.c
113	.data	0x00031dd0	3	0	3	1	D:\nt\private\crt32st\lowio\osfinfo.c
115	.bss	0x00020020	2	0	3	1	D:\nt\private\crt32st\lowio\osfinfo.c
117	FLAT	0x00000000	-1	0	3	0	D:\nt\private\crt32st\lowio\osfinfo.c
118	.idata$6	0x00040162	4	0	3	0	D:\nt\private\crt32st\lowio\osfinfo.c
119	.file	0x00000081	-2	0	103	2	D:\nt\private\crt32st\lowio\mktemp.c
122	.text	0x000146e6	1	0	3	1	D:\nt\private\crt32st\lowio\mktemp.c
124	.data	0x00031dd0	3	0	3	1	D:\nt\private\crt32st\lowio\mktemp.c
126	.bss	0x00020020	2	0	3	1	D:\nt\private\crt32st\lowio\mktemp.c
128	FLAT	0x00000000	-1	0	3	0	D:\nt\private\crt32st\lowio\mktemp.c
129	.file	0x0000008c	-2	0	103	2	D:\nt\private\crt32st\dos\getpid.c
132	.text	0x000147b6	1	0	3	1	D:\nt\private\crt32st\dos\getpid.c
134	.data	0x00031dd0	3	0	3	1	D:\nt\private\crt32st\dos\getpid.c
136	.bss	0x00020020	2	0	3	1	D:\nt\private\crt32st\dos\getpid.c
138	FLAT	0x00000000	-1	0	3	0	D:\nt\private\crt32st\dos\getpid.c
139	.idata$6	0x00040172	4	0	3	0	D:\nt\private\crt32st\dos\getpid.c
140	.file	0x00000098	-2	0	103	2	D:\nt\private\crt32st\lowio\open.c
143	.text	0x000147cc	1	0	3	1	D:\nt\private\crt32st\lowio\open.c
145	.data	0x00031dd0	3	0	3	1	D:\nt\private\crt32st\lowio\open.c
147	.bss	0x00020020	2	0	3	1	D:\nt\private\crt32st\lowio\open.c
149	FLAT	0x00000000	-1	0	3	0	D:\nt\private\crt32st\lowio\open.c
150	.idata$6	0x00040188	4	0	3	0	D:\nt\private\crt32st\lowio\open.c
151	.idata$6	0x00040196	4	0	3	0	D:\nt\private\crt32st\lowio\open.c
152	.file	0x000000a2	-2	0	103	2	D:\nt\private\crt32st\lowio\chsize.c
155	.text	0x00014ae8	1	0	3	1	D:\nt\private\crt32st\lowio\chsize.c
157	.data	0x00031dd0	3	0	3	1	D:\nt\private\crt32st\lowio\chsize.c
159	.bss	0x00020020	2	0	3	1	D:\nt\private\crt32st\lowio\chsize.c
161	FLAT	0x00000000	-1	0	3	0	D:\nt\private\crt32st\lowio\chsize.c
162	.file	0x000000ad	-2	0	103	2	D:\nt\private\crt32st\lowio\lseek.c
165	.text	0x00014c38	1	0	3	1	D:\nt\private\crt32st\lowio\lseek.c
167	.data	0x00031dd0	3	0	3	1	D:\nt\private\crt32st\lowio\lseek.c
169	.bss	0x00020020	2	0	3	1	D:\nt\private\crt32st\lowio\lseek.c
171	FLAT	0x00000000	-1	0	3	0	D:\nt\private\crt32st\lowio\lseek.c
172	.idata$6	0x000401a6	4	0	3	0	D:\nt\private\crt32st\lowio\lseek.c
173	.file	0x000000b9	-2	0	103	2	D:\nt\private\crt32st\misc\putenv.c
176	.text	0x00014cbe	1	0	3	1	D:\nt\private\crt32st\misc\putenv.c
178	.data	0x00031dd0	3	0	3	1	D:\nt\private\crt32st\misc\putenv.c
180	.bss	0x00020020	2	0	3	1	D:\nt\private\crt32st\misc\putenv.c
182	FLAT	0x00000000	-1	0	3	0	D:\nt\private\crt32st\misc\putenv.c
183	findenv	0x00014e66	1	0	3	0	D:\nt\private\crt32st\misc\putenv.c
184	.idata$6	0x000401b8	4	0	3	0	D:\nt\private\crt32st\misc\putenv.c
185	.file	0x000000c4	-2	0	103	2	D:\nt\private\crt32st\lowio\read.c
188	.text	0x00014ee4	1	0	3	1	D:\nt\private\crt32st\lowio\read.c
190	.data	0x00031dd0	3	0	3	1	D:\nt\private\crt32st\lowio\read.c
192	.bss	0x00020020	2	0	3	1	D:\nt\private\crt32st\lowio\read.c
194	FLAT	0x00000000	-1	0	3	0	D:\nt\private\crt32st\lowio\read.c
195	.idata$6	0x000401d2	4	0	3	0	D:\nt\private\crt32st\lowio\read.c
196	.file	0x000000cf	-2	0	103	3	D:\nt\private\crt32st\lowio\setmode.c
200	.text	0x0001512a	1	0	3	1	D:\nt\private\crt32st\lowio\setmode.c
202	.data	0x00031dd0	3	0	3	1	D:\nt\private\crt32st\lowio\setmode.c
204	.bss	0x00020020	2	0	3	1	D:\nt\private\crt32st\lowio\setmode.c
206	FLAT	0x00000000	-1	0	3	0	D:\nt\private\crt32st\lowio\setmode.c
207	.file	0x000000da	-2	0	103	3	D:\nt\private\crt32st\string\stricmp.c
211	.text	0x000151ba	1	0	3	1	D:\nt\private\crt32st\string\stricmp.c
213	.data	0x00031dd0	3	0	3	1	D:\nt\private\crt32st\string\stricmp.c
215	.bss	0x00020020	2	0	3	1	D:\nt\private\crt32st\string\stricmp.c
217	FLAT	0x00000000	-1	0	3	0	D:\nt\private\crt32st\string\stricmp.c
218	.file	0x000000e4	-2	0	103	2	D:\nt\private\crt32st\misc\ctype.c
