name	os2_offset	os2_length	os2_object	nt_rva	nt_symbol	status
main	0x0010	0x022d	cc_main5.obj	0x10000	_main	same-name match
Do_Link	0x023d	0x0009	cc_main5.obj	0x1028c	_Do_Link	same-name match
process_cmdline	0x0246	0x012a	cc_main5.obj	0x10299	_process_cmdline	same-name match
tailmatch	0x0370	0x005a	cc_main5.obj	0x103e8	_tailmatch	same-name match
get_switch_list	0x03ca	0x008b	cc_main5.obj	0x10446	_get_switch_list	same-name match
get_string	0x0455	0x0044	cc_main5.obj	0x104d7	_get_string	same-name match
get_list	0x0499	0x0060	cc_main5.obj	0x10524	_get_list	same-name match
get_number	0x04f9	0x0041	cc_main5.obj	0x1058b	_get_number	same-name match
get_threshold	0x053a	0x0029	cc_main5.obj	0x105c9	_get_threshold	same-name match
set_flag	0x0563	0x000e	cc_main5.obj	0x105f4	_set_flag	same-name match
reset_flag	0x0571	0x000e	cc_main5.obj	0x10602	_reset_flag	same-name match
set_Oflag	0x057f	0x004d	cc_main5.obj	0x10610	_set_Oflag	same-name match
reset_Oflag	0x05cc	0x004a	cc_main5.obj	0x10663	_reset_Oflag	same-name match
SetupErrors	0x0616	0x0028	cc_main5.obj	0x106b5	_SetupErrors	same-name match
Emit1	0x063e	0x0016	cc_main5.obj	0x106f0	_Emit1	same-name match
Emit2	0x0654	0x0015	cc_main5.obj	0x1070a	_Emit2	same-name match
EmitTogether	0x0669	0x0033	cc_main5.obj	0x10721	_EmitTogether	same-name match
basename	0x069c	0x0051	cc_main5.obj	0x10762	_basename	same-name match
fullname	0x06ed	0x00ba	cc_main5.obj	0x107b5	_fullname	same-name match
fix_suffix	0x07a7	0x0057	cc_main5.obj	0x1088a	_fix_suffix	same-name match
make_temp_files	0x07fe	0x0039	cc_main5.obj	0x108e9	_make_temp_files	same-name match
delfiles	0x0837	0x005f	cc_main5.obj	0x10935	_delfiles	same-name match
listargs	0x0896	0x004c	cc_main5.obj	0x109a0	_listargs	same-name match
is_path	0x08e2	0x004f	cc_main5.obj	0x109ef	_is_path	same-name match
give_path	0x0931	0x0072	cc_main5.obj	0x10a46	_give_path	same-name match
catargs	0x09a3	0x0039	cc_main5.obj	0x10ac3	_catargs	same-name match
compile_cxx	0x09dc	0x0013	cc_main5.obj	0x10b04	_compile_cxx	same-name match
compile_c	0x09ef	0x0013	cc_main5.obj	0x10b19	_compile_c	same-name match
compile	0x0a02	0x016e	cc_main5.obj	0x10b2e	_compile	same-name match
C1	0x0b70	0x02a8	cc_main5.obj	0x10d29	_C1	same-name match
P2	0x0e18	0x018e	cc_main5.obj	0x110a6	_P2	same-name match
P3	0x0fa6	0x0142	cc_main5.obj	0x112c5	_P3	same-name match
emit_various_files	0x10e8	0x0196	cc_main5.obj	0x11478	_emit_various_files	same-name match
EmitListing	0x127e	0x00cb	cc_main5.obj	0x1167d	_EmitListing	same-name match
truncate	0x1349	0x002e	cc_main5.obj	0x11782	_truncate	same-name match
setup	0x1377	0x004b	cc_main5.obj	0x117ac	_setup	same-name match
emit_to_link	0x13c2	0x005a	cc_main5.obj	0x11800	_emit_to_link	same-name match
to_link	0x141c	0x003d	cc_main5.obj	0x1186e	_to_link	same-name match
emit_switches	0x1459	0x016d	cc_main5.obj	0x118ba	_emit_switches	same-name match
do_undefine	0x15c6	0x0051	cc_main5.obj	0x11a71	_do_undefine	same-name match
emit_def_defines	0x1617	0x0029	cc_main5.obj	0x11ac2	_emit_def_defines	same-name match
