descriptor	dll	index	hint	name	iat_rva	iat_va
0	base.dll	0	98	GetFileAttributesA	0x4003c	0x5003c
0	base.dll	1	105	GetLastError	0x40040	0x50040
0	base.dll	2	8	CloseHandle	0x40044	0x50044
0	base.dll	3	50	ExitProcess	0x40048	0x50048
0	base.dll	4	102	GetFileType	0x4004c	0x5004c
0	base.dll	5	134	GetStdHandle	0x40050	0x50050
0	base.dll	6	42	DuplicateHandle	0x40054	0x50054
0	base.dll	7	85	GetCurrentProcess	0x40058	0x50058
0	base.dll	8	244	SetStdHandle	0x4005c	0x5005c
0	base.dll	9	86	GetCurrentProcessId	0x40060	0x50060
0	base.dll	10	18	CreateFileA	0x40064	0x50064
0	base.dll	11	231	SetEndOfFile	0x40068	0x50068
0	base.dll	12	238	SetFilePointer	0x4006c	0x5006c
0	base.dll	13	232	SetEnvironmentVariableA	0x40070	0x50070
0	base.dll	14	213	ReadFile	0x40074	0x50074
0	base.dll	15	38	DeleteFileA	0x40078	0x50078
0	base.dll	16	276	WriteFile	0x4007c	0x5007c
0	base.dll	17	81	GetCommandLineA	0x40080	0x50080
0	base.dll	18	93	GetEnvironmentStrings	0x40084	0x50084
0	base.dll	19	132	GetStartupInfoA	0x40088	0x50088
0	base.dll	20	147	GetVersion	0x4008c	0x5008c
0	base.dll	21	261	UnhandledExceptionFilter	0x40090	0x50090
0	base.dll	22	265	VirtualAlloc	0x40094	0x50094
0	base.dll	23	110	GetModuleFileNameA	0x40098	0x50098
0	base.dll	24	266	VirtualFree	0x4009c	0x5009c
0	base.dll	25	29	CreateProcessA	0x400a0	0x500a0
0	base.dll	26	96	GetExitCodeProcess	0x400a4	0x500a4
0	base.dll	27	272	WaitForSingleObject	0x400a8	0x500a8
0	base.dll	28	83	GetCurrentDirectoryA	0x400ac	0x500ac
0	base.dll	29	94	GetEnvironmentVariableA	0x400b0	0x500b0
0	base.dll	30	58	FileTimeToSystemTime	0x400b4	0x500b4
0	base.dll	31	61	FindClose	0x400b8	0x500b8
0	base.dll	32	62	FindFirstFileA	0x400bc	0x500bc
0	base.dll	33	91	GetDriveTypeA	0x400c0	0x500c0
0	base.dll	34	108	GetLogicalDrives	0x400c4	0x500c4
0	base.dll	35	229	SetCurrentDirectoryA	0x400c8	0x500c8
1	ntdll.dll	0	2	DbgPrint	0x400d0	0x500d0
1	ntdll.dll	1	377	RtlUnwind	0x400d4	0x500d4
