file	rva	length	end_rva
c:\c6\\cmerge\	0x10000	0x27b9	0x127b9
D:\nt\private\crt32\linkopts\binmode.c	0x127c0	0x0	0x127c0
c:\c6\\cmerge\	0x127c0	0x1894	0x14054
c:\c6\\cmerge\	0x14060	0x0	0x14060
D:\nt\private\crt32st\dos\access.c	0x14060	0x58	0x140b8
i386\chkstk.asm	0x140cc	0x2d	0x140f9
D:\nt\private\crt32st\lowio\close.c	0x140fc	0x7c	0x14178
D:\nt\private\crt32st\startup\crt0dat.c	0x14182	0x1b4	0x14336
D:\nt\private\crt32st\dos\dosmap.c	0x14354	0x80	0x143d4
D:\nt\private\crt32st\lowio\dup2.c	0x143d4	0xd4	0x144a8
D:\nt\private\crt32st\lowio\osfinfo.c	0x144c0	0x21c	0x146dc
D:\nt\private\crt32st\lowio\mktemp.c	0x146e6	0xcc	0x147b2
D:\nt\private\crt32st\dos\getpid.c	0x147b6	0x8	0x147be
D:\nt\private\crt32st\lowio\open.c	0x147cc	0x308	0x14ad4
D:\nt\private\crt32st\lowio\chsize.c	0x14ae8	0x14c	0x14c34
D:\nt\private\crt32st\lowio\lseek.c	0x14c38	0x7c	0x14cb4
D:\nt\private\crt32st\misc\putenv.c	0x14cbe	0x21c	0x14eda
D:\nt\private\crt32st\lowio\read.c	0x14ee4	0x238	0x1511c
D:\nt\private\crt32st\lowio\setmode.c	0x1512a	0x84	0x151ae
D:\nt\private\crt32st\string\stricmp.c	0x151ba	0x6c	0x15226
D:\nt\private\crt32st\misc\ctype.c	0x1522a	0x0	0x1522a
D:\nt\private\crt32st\string\strdup.c	0x1522a	0x5c	0x15286
D:\nt\private\crt32st\dos\unlink.c	0x1528a	0x4c	0x152d6
D:\nt\private\crt32st\lowio\write.c	0x152e0	0x1fc	0x154dc
c:\c6\\cmerge\	0x154e6	0x2de	0x157c4
D:\nt\private\crt32st\convert\xtoa.c	0x157c6	0xe0	0x158a6
D:\nt\private\crt32st\heap\free.c	0x158a6	0x64	0x1590a
D:\nt\private\crt32st\heap\hpabort.c	0x15916	0xc	0x15922
D:\nt\private\crt32st\startup\crt0.c	0x15926	0x1ac	0x15ad2
D:\nt\private\crt32st\startup\crt0msg.c	0x15af4	0x94	0x15b88
i386\crtexcpt.asm	0x15b94	0x75	0x15c09
D:\nt\private\crt32st\heap\heapinit.c	0x15c20	0x60	0x15c80
D:\nt\private\crt32st\startup\stdargv.c	0x15c86	0x218	0x15e9e
D:\nt\private\crt32st\startup\stdenvp.c	0x15eac	0x104	0x15fb0
D:\nt\private\crt32st\string\strupr.c	0x15fbc	0x24	0x15fe0
c:\c6\\cmerge\	0x15fec	0x2b6	0x162a2
D:\nt\private\crt32st\misc\getenv.c	0x162ac	0x78	0x16324
c:\c6\\cmerge\	0x1632c	0x58	0x16384
D:\nt\private\crt32st\heap\malloc.c	0x1638c	0xf4	0x16480
D:\nt\private\crt32st\heap\heapgrow.c	0x1648c	0x228	0x166b4
D:\nt\private\crt32st\heap\heapadd.c	0x166c2	0x294	0x16956
D:\nt\private\crt32st\heap\findaddr.c	0x16962	0x74	0x169d6
D:\nt\private\crt32st\heap\heapsrch.c	0x169e2	0x118	0x16afa
D:\nt\private\crt32st\string\memchr.c	0x16b02	0x38	0x16b3a
D:\nt\private\crt32st\heap\realloc.c	0x16b42	0x2a8	0x16dea
c:\c6\\cmerge\	0x16df2	0x46	0x16e38
i386\stubs.asm	0x16e42	0x14	0x16e56
D:\nt\private\crt32st\exec\spawnvpe.c	0x16e62	0x1c4	0x17026
D:\nt\private\crt32st\misc\getpath.c	0x17032	0x94	0x170c6
D:\nt\private\crt32st\exec\spawnve.c	0x170d2	0x344	0x17416
D:\nt\private\crt32st\exec\cenvarg.c	0x17422	0x33c	0x1775e
D:\nt\private\crt32st\exec\dospawn.c	0x17762	0x1b4	0x17916
D:\nt\private\crt32st\misc\searchen.c	0x17934	0x13c	0x17a70
D:\nt\private\crt32st\dos\getcwd.c	0x17a74	0x178	0x17bec
D:\nt\private\crt32st\dos\stat.c	0x17c00	0x34c	0x17f4c
D:\nt\private\crt32st\time\dtoxtime.c	0x17f6e	0xc4	0x18032
D:\nt\private\crt32st\time\tzset.c	0x1803e	0x188	0x181c6
D:\nt\private\crt32st\time\timeset.c	0x181ce	0x0	0x181ce
D:\nt\private\crt32st\time\days.c	0x181ce	0x0	0x181ce
D:\nt\private\crt32st\dos\fullpath.c	0x181ce	0x2c0	0x1848e
D:\nt\private\crt32st\dos\drive.c	0x1848e	0x144	0x185d2
D:\nt\private\crt32st\convert\atox.c	0x185e4	0x88	0x1866c
D:\nt\private\crt32st\heap\calloc.c	0x18674	0x44	0x186b8
D:\nt\private\crt32st\string\strcat.c	0x186c4	0x44	0x18708
D:\nt\private\crt32st\string\strchr.c	0x18714	0x2c	0x18740
D:\nt\private\crt32st\string\strcmp.c	0x18744	0x44	0x18788
D:\nt\private\crt32st\string\strlen.c	0x18794	0x18	0x187ac
D:\nt\private\crt32st\string\strncmp.c	0x187b4	0x34	0x187e8
D:\nt\private\crt32st\string\strncpy.c	0x187f4	0x38	0x1882c
D:\nt\private\crt32st\string\strpbrk.c	0x18834	0x78	0x188ac
D:\nt\private\crt32st\string\strrchr.c	0x188b4	0x34	0x188e8
